Sample,treatment,Cthe_0001,Cthe_0002,Cthe_0003,Cthe_0004,Cthe_0005,Cthe_0006,Cthe_0007,Cthe_0008,Cthe_0009,Cthe_0010,Cthe_0011,Cthe_0012,Cthe_0013,Cthe_0014,Cthe_0015,Cthe_0016,Cthe_0017,Cthe_0018,Cthe_0019,Cthe_0020,Cthe_0021,Cthe_0022,Cthe_0023,Cthe_0024,Cthe_0025,Cthe_0027,Cthe_0028,Cthe_0029,Cthe_0030
1,1,162.5819151,30.07840336,46.83920952,8.652113493,17.17098689,13.03502039,33.63278727,6.982845735,45.0000077,26.3086413,8.083048513,8.833750986,4.704529149,5.39441343,179.1311059,15733.91751,257.3008774,86.42781493,298.1794651,0.500945233,0.907878637,0.442510477,2.073477662,2.485160878,25.5785564,2.132719881,21.45808278,29.43105226,11.09492433
2,1,121.9457476,36.11401699,25.15719197,21.65581758,11.00396171,8.372704575,19.97784089,7.296390143,53.61280139,13.47496497,8.749201149,4.725760317,1.418664401,1.02939673,208.1556039,19370.19484,456.3513664,231.0313165,299.9192073,0.961690772,0.550264223,1.583687277,2.421757462,1.438547898,15.64734953,5.398563685,12.25181325,14.63237822,5.553324463
3,0,153.0401272,51.31140166,44.56800565,37.45277814,17.25542339,14.22513892,31.82866598,9.260574065,99.16447997,22.48039823,18.18917315,10.58344394,3.941270571,3.780784771,318.3946563,19547.90438,477.0041648,264.5995379,405.262601,2.404843061,1.044193273,1.769213386,3.867247624,2.5407099,22.38195978,7.767643086,14.72224924,20.07862056,7.705283583
4,1,124.9032633,34.56498723,28.45605695,16.19776054,8.392299374,7.44669448,19.42663752,7.293154387,52.25338154,16.05042912,9.442471708,4.772053326,1.307864829,1.380362879,184.0553254,17343.30253,459.8808341,212.9719161,306.2284954,1.38217533,0.479617611,1.229385689,1.864189395,1.387465231,14.78657162,5.45736324,16.89321214,17.27073743,6.174550839
5,0,115.5356792,37.91158274,43.73696233,32.98386699,25.29424309,13.64124688,37.29614366,9.241141814,79.81162992,20.59157651,13.89820028,9.161605359,5.421258073,4.306385746,397.8160498,18265.55865,566.654112,373.172775,441.2292915,1.840374451,1.266088638,1.73911732,4.019442579,3.6009534,22.71034702,10.59370893,12.38287249,17.79008543,8.39919568
6,1,147.0288051,28.67902003,51.33590255,9.150836079,18.33581707,14.49709045,39.33971209,5.591899125,40.69875518,22.32719804,8.834341693,9.628654707,3.276136279,4.44432379,187.9370066,18257.56767,277.000232,91.2902496,344.8048428,0.908059512,1.005534827,0.28423001,3.023592753,1.970027416,25.94668409,2.324632351,24.08181505,30.24022913,11.11443602
7,0,126.0247618,33.44761711,34.83208104,29.30616891,14.17308095,12.1608343,34.14468248,10.42483649,84.43066586,21.13262249,14.20198729,7.23808794,3.769077165,3.182404844,283.5740232,16575.89612,506.4498959,226.8618967,324.9864127,2.107256779,0.483765991,1.342577044,3.537468763,2.132519469,19.15067546,5.242443694,14.17196195,16.23325288,8.584118329
8,0,140.3104413,39.45428254,35.21304512,38.15175305,15.06712027,8.319339315,22.84688912,7.647644164,90.82412663,25.74717278,17.42747318,12.33498385,3.550895306,2.748335229,339.9533292,18820.65642,526.3749047,262.6557804,372.4858631,1.597902888,1.114085043,2.948734673,3.311929649,3.205836553,24.01414225,7.243826425,11.37537694,13.57823837,9.678439302
9,1,183.9637617,46.41126541,41.92732295,31.72165313,14.72404517,9.709857015,29.81487399,8.28035707,89.21322988,18.9422427,10.8106955,8.986066981,3.630001885,1.316982391,223.7570518,21517.5311,374.5374453,179.9233122,375.6442681,2.126954229,1.029590047,1.707961539,2.462668086,2.35334868,18.50589652,3.991867698,13.01390211,19.48809331,9.857873128
10,1,170.974264,24.41552688,37.20072787,9.357842563,11.96764346,12.21533382,22.24236317,6.843353512,45.01554792,18.46489705,13.39106104,7.684908176,3.759218855,2.551743562,187.0817706,15379.72532,277.4229203,66.10566145,229.9345185,0.613904692,1.008915558,0.901909362,2.076829126,2.044036715,26.96856847,1.979046829,20.18141372,25.06715223,12.84825267
